,band,beak depth (mm),beak length (mm),species,year
0,20123,8.05,9.25,fortis,1973
1,20126,10.45,11.35,fortis,1973
2,20128,9.55,10.15,fortis,1973
3,20129,8.75,9.95,fortis,1973
4,20133,10.15,11.55,fortis,1973
5,20136,9.85,11.15,fortis,1973
6,20138,8.85,10.05,fortis,1973
7,20142,10.15,11.25,fortis,1973
8,20143,8.15,9.15,fortis,1973
9,20146,8.55,9.25,fortis,1973
10,20149,10.65,11.75,fortis,1973
11,20150,8.05,9.05,fortis,1973
12,20152,9.75,11.15,fortis,1973
13,20155,10.15,11.25,fortis,1973
14,20156,9.85,10.45,fortis,1973
15,20157,9.75,10.65,fortis,1973
16,20163,8.35,10.05,fortis,1973
17,20164,8.55,10.45,fortis,1973
18,20169,10.25,11.45,fortis,1973
19,20172,9.35,11.15,fortis,1973
20,20174,10.15,10.95,fortis,1973
21,20176,8.55,9.55,fortis,1973
22,20177,8.85,10.65,fortis,1973
23,20178,9.85,10.05,fortis,1973
24,20181,10.75,11.25,fortis,1973
25,20183,9.85,10.85,fortis,1973
26,20203,8.45,10.05,fortis,1973
27,20206,10.55,11.95,fortis,1973
28,20211,8.35,9.85,fortis,1973
29,20215,8.25,9.35,fortis,1973
30,20217,10.95,12.05,fortis,1973
31,20218,9.15,10.35,fortis,1973
32,20219,8.85,10.65,fortis,1973
33,20221,10.05,10.95,fortis,1973
34,20229,9.55,10.25,fortis,1973
35,20230,12.15,12.65,fortis,1973
36,20233,9.55,10.65,fortis,1973
37,20235,9.75,10.75,fortis,1973
38,20239,9.25,10.15,fortis,1973
39,20243,9.05,10.25,fortis,1973
40,20244,8.45,10.35,fortis,1973
41,20246,9.55,10.55,fortis,1973
42,20247,9.95,10.95,fortis,1973
43,20249,10.65,11.65,fortis,1973
44,20250,7.95,9.85,fortis,1973
45,20253,10.65,11.15,fortis,1973
46,20256,9.15,10.05,fortis,1973
47,20258,10.05,11.15,fortis,1973
48,20263,9.75,10.95,fortis,1973
49,20268,10.05,11.05,fortis,1973
50,20269,9.65,10.65,fortis,1973
51,20271,9.45,10.85,fortis,1973
52,20272,10.75,11.05,fortis,1973
53,20275,9.85,11.05,fortis,1973
54,20276,11.15,11.55,fortis,1973
55,20277,10.85,11.25,fortis,1973
56,20278,8.55,10.25,fortis,1973
57,20282,10.25,11.05,fortis,1973
58,20292,8.35,9.95,fortis,1973
59,20296,9.15,10.65,fortis,1973
60,20299,9.35,9.95,fortis,1973
61,20301,10.15,11.05,fortis,1973
62,20302,9.75,10.75,fortis,1973
63,20306,10.75,11.75,fortis,1973
64,20307,9.35,10.25,fortis,1973
65,20308,8.65,9.45,fortis,1973
66,20309,10.35,11.85,fortis,1973
67,20310,10.55,10.95,fortis,1973
68,20313,9.45,10.35,fortis,1973
69,20317,8.85,10.15,fortis,1973
70,20318,9.45,10.45,fortis,1973
71,20320,9.85,11.35,fortis,1973
72,20324,9.15,9.85,fortis,1973
73,20121,9.35,15.15,scandens,1973
74,20125,9.75,15.05,scandens,1973
75,20135,8.35,14.45,scandens,1973
76,20159,9.55,14.05,scandens,1973
77,20160,8.55,14.25,scandens,1973
78,20175,9.85,14.65,scandens,1973
79,20182,10.65,15.45,scandens,1973
80,20187,9.55,15.15,scandens,1973
81,20200,9.85,14.95,scandens,1973
82,20207,9.75,13.65,scandens,1973
83,20220,7.95,14.65,scandens,1973
84,20224,9.95,15.65,scandens,1973
85,20245,9.55,14.05,scandens,1973
86,20254,9.15,13.85,scandens,1973
87,20259,10.45,14.95,scandens,1973
88,20274,9.15,13.15,scandens,1973
89,2,8.0,9.4,fortis,1975
90,9,8.3,9.2,fortis,1975
91,12,7.5,9.5,fortis,1975
92,15,8.0,9.5,fortis,1975
93,305,9.9,11.5,fortis,1975
94,307,8.6,11.1,fortis,1975
95,308,8.4,9.9,fortis,1975
96,309,9.8,11.5,fortis,1975
97,311,9.2,10.8,fortis,1975
98,312,9.0,11.3,fortis,1975
99,313,9.5,11.5,fortis,1975
100,314,8.9,11.5,fortis,1975
101,315,8.8,9.7,fortis,1975
102,316,9.7,10.9,fortis,1975
103,316,9.85,10.9,fortis,1975
104,320,8.9,10.1,fortis,1975
105,321,8.5,10.6,fortis,1975
106,323,8.2,9.6,fortis,1975
107,324,9.3,10.3,fortis,1975
108,326,9.1,10.5,fortis,1975
109,328,8.8,10.5,fortis,1975
110,329,9.4,10.9,fortis,1975
111,330,9.6,11.2,fortis,1975
112,340,8.5,9.4,fortis,1975
113,341,8.1,10.1,fortis,1975
114,342,8.0,9.6,fortis,1975
115,343,9.7,10.5,fortis,1975
116,344,8.2,9.9,fortis,1975
117,345,8.4,9.9,fortis,1975
118,346,7.9,9.6,fortis,1975
119,347,9.3,10.7,fortis,1975
120,348,10.5,11.8,fortis,1975
121,349,9.7,10.2,fortis,1975
122,350,9.6,10.9,fortis,1975
123,352,7.7,9.3,fortis,1975
124,354,9.8,11.6,fortis,1975
125,355,9.8,11.2,fortis,1975
126,356,8.5,10.1,fortis,1975
127,360,9.2,10.7,fortis,1975
128,366,10.1,11.0,fortis,1975
129,368,9.0,10.8,fortis,1975
130,369,9.0,10.2,fortis,1975
131,401,9.4,10.8,fortis,1975
132,402,8.8,10.4,fortis,1975
133,403,9.9,11.2,fortis,1975
134,405,9.9,11.4,fortis,1975
135,410,8.9,10.9,fortis,1975
136,411,9.4,10.4,fortis,1975
137,413,8.2,9.7,fortis,1975
138,414,8.2,10.2,fortis,1975
139,415,8.1,9.2,fortis,1975
140,416,8.4,10.1,fortis,1975
141,417,10.1,11.0,fortis,1975
142,418,8.6,10.3,fortis,1975
143,419,8.5,10.2,fortis,1975
144,420,9.7,11.0,fortis,1975
145,422,10.3,11.0,fortis,1975
146,423,8.6,10.1,fortis,1975
147,424,9.3,10.7,fortis,1975
148,425,8.9,10.7,fortis,1975
149,426,9.7,11.0,fortis,1975
150,427,10.2,12.0,fortis,1975
151,428,10.2,11.6,fortis,1975
152,450,8.5,9.9,fortis,1975
153,451,8.8,10.8,fortis,1975
154,452,8.9,10.5,fortis,1975
155,453,8.7,10.0,fortis,1975
156,454,9.3,9.6,fortis,1975
157,455,9.7,11.0,fortis,1975
158,456,9.6,10.2,fortis,1975
159,457,7.85,9.7,fortis,1975
160,458,9.6,11.1,fortis,1975
161,459,9.3,10.4,fortis,1975
162,461,9.8,11.1,fortis,1975
163,462,8.8,10.2,fortis,1975
164,463,9.1,10.3,fortis,1975
165,465,9.0,9.9,fortis,1975
166,466,10.4,11.0,fortis,1975
167,468,9.0,10.8,fortis,1975
168,473,9.5,10.5,fortis,1975
169,474,8.7,10.5,fortis,1975
170,475,9.6,11.2,fortis,1975
171,476,9.4,11.2,fortis,1975
172,477,9.5,11.7,fortis,1975
173,479,8.6,10.5,fortis,1975
174,501,9.9,10.5,fortis,1975
175,502,9.4,11.2,fortis,1975
176,503,9.1,10.0,fortis,1975
177,504,8.6,10.4,fortis,1975
178,505,9.3,10.8,fortis,1975
179,506,9.2,11.1,fortis,1975
180,507,8.8,10.3,fortis,1975
181,509,9.2,11.1,fortis,1975
182,510,8.3,9.8,fortis,1975
183,511,8.8,10.5,fortis,1975
184,512,9.4,11.0,fortis,1975
185,513,10.4,11.2,fortis,1975
186,514,8.5,9.8,fortis,1975
